bibcode,year,title,subject,predicate,object,claim_type,evidence_text
1991AIPC..222..561R,1991,Summary of after the first three minutes,light massive neutrinos,candidate_for,dark matter,candidate,Hot dark matter in the form of light massive neutrinos got a boost from the MSW solution of the solar neutrino problem.
1991ASSL..169..525S,1991,Reviving Massive Neutrinos for Large-Scale Structure,neutrinos,candidate_for,dark matter,candidate,neutrinos are the only presently observed particle which could serve as dark matter
1991ASSL..169..525S,1991,Reviving Massive Neutrinos for Large-Scale Structure,massive neutrinos,candidate_for,dark matter,candidate,massive neutrinos can be revived as a candidate for the dark matter
1991ASSL..169..525S,1991,Reviving Massive Neutrinos for Large-Scale Structure,massive neutrinos,is,hot dark matter,identity,"massive neutrinos act as hot dark matter, rather than cold dark matter"
1991ApJ...367...37V,1991,Seeded Hot Dark Matter Models for Large-Scale Structure,dark matter,is,hot dark matter,identity,models in which the universe is dominated by hot dark matter
1991ApJ...367..507M,1991,Zero Central Density Solutions of the Anisotropic Jeans Equation and Neutrino Dark Matter,neutrinos,candidate_for,dark matter,candidate,"fermionic dark matter, e.g. neutrinos."
1991ApJ...368..406R,1991,On the Observability of the Gamma-Ray Line Flux from Dark Matter Annihilation,particles from supersymmetric extensions of the standard model,candidate_for,dark matter,candidate,dark matter candidates which arise in supersymmetric extensions of the standard model of particle physics.
1991ApJ...370...15R,1991,Compression of Dark Halos by Baryon Infall: Self-similar Solutions,dark matter,is,the remainder of the matter,identity,"the remainder of the matter, consisting of dark matter"
1991ApJ...376....1K,1991,The Accuracy of Galaxy Masses from the Timing Argument,dark matter,is,cold dark matter,identity,an {OMEGA} = 1 cold dark matter (CDM) cosmology.
1991ApJ...379...52W,1991,Galaxy Formation through Hierarchical Clustering,dark matter,is,dissipationless,identity,dissipationless dark matter
1991ApJ...379...52W,1991,Galaxy Formation through Hierarchical Clustering,dark matter,is,cold,identity,cold dark matter universe
1991ApJ...383...95E,1991,Expectations for X-Ray Cluster Observations by the ROSAT Satellite,cold dark matter,constitutes,dark matter,constitution,a cold dark matter (CDM) universe
1991NuPhB.351..623G,1991,Neutralino dark matter searches,lightest neutralino,candidate_for,dark matter,candidate,"We consider the lightest neutralino, a general combination of photino, zino and higgsinos in the minimal supersymmetric extension of the standard model, as a component of the dark matter in the halo of our galaxy."
1991NuPhS..19..138S,1991,ν<SUB>τ</SUB> decay and the ionisation of hydrogen in the universe,tau neutrino,constitutes,dark matter,constitution,the dark matter consists of τ neutrinos
1991NuPhS..22....1S,1991,Search for cosmic axions and experimental limits on light scalars/pseudoscalars,axions,constitutes,dark matter,constitution,we assume that 100% of the dark matter is due to axions
1991PhDT.........7H,1991,Topics in particle physics and cosmology,primordial black holes,constitutes,dark matter,constitution,"production of primordial black holes, which could constitute the dark matter of our universe."
1991PhDT.......107K,1991,"Aspects of the Flipped Unification of Strong, Weak and Electromagnetic Interactions",flatino,candidate_for,dark matter,candidate,"repopulating the fermionic ""flatino"" partner of the flaton, giving a viable candidate for metastable dark matter."
1991PhLB..261..289T,1991,On the possibility of Bose-star formation,axion,candidate_for,dark matter,candidate,In the central part of such a cloud an axionic cosmic matter with luminosity ~ 10<SUP>-2</SUP>v<SUB>r</SUB><SUP>5/2</SUP>φ<SUB>10</SUB><SUP>-1/4</SUP>M<SUB>solar</SUB>/yr will form. An upper bound on the self-coupling is obtained provided the mass distribution in galaxies is dominated by this kind of dark matter.
1991PhLB..266..382B,1991,Cosmological signatures of supersymmetry with spontaneously broken R parity,neutralino,constitutes,dark matter,constitution,The assumption that the lightest supersymmetric particle - neutralino - is responsible for the observed dark matter in the Universe
1991PhLB..270...89M,1991,Search for neutralino dark matter in Kamiokande,neutralino,candidate_for,dark matter,candidate,Assuming the galactic halo contains neutralino dark matter
1991PhLB..270...89M,1991,Search for neutralino dark matter in Kamiokande,neutralino,candidate_for,dark matter,candidate,a possible signal from neutralino dark matter captured in the earth.
1991PhRvD..44.3021K,1991,Energetic neutrinos from heavy-neutralino annihilation in the Sun,neutralino,candidate_for,dark matter,candidate,"while in many other supersymmetric models the rates are large enough that if neutralinos do reside in the galactic halo, observation of a neutrino signal may be possible in the near future."
1991PhST...36..142E,1991,Experimental constraints on dark matter.,particles,candidate_for,dark matter,candidate,some of the particle candidates for dark matter
1991PhST...36..142E,1991,Experimental constraints on dark matter.,metastable particles from a hidden sector of string theory,candidate_for,dark matter,candidate,metastable particles from a hidden sector of string theory as possible candidates for dark matter
1991S&T....82..134G,1991,Mapping the Universe,cold dark matter,candidate_for,dark matter,candidate,A cold-dark-matter model with biased galaxy formation is considered
1991S&T....82..140S,1991,The Origin of Cosmic Structure,dark matter,composed_of,protons,composition,"some of this dark matter is made of protons, neutrons, and electrons"
1991S&T....82..140S,1991,The Origin of Cosmic Structure,dark matter,composed_of,neutrinos,composition,"some of this dark matter is made of protons, neutrons, and electrons"
1991S&T....82..140S,1991,The Origin of Cosmic Structure,dark matter,composed_of,electrons,composition,"some of this dark matter is made of protons, neutrons, and electrons"
1991S&T....82..140S,1991,The Origin of Cosmic Structure,massive neutrinos,constitutes,dark matter,constitution,"most of it is seen in a form of massive neutrinos, axions, or neutralinos"
1991S&T....82..140S,1991,The Origin of Cosmic Structure,axions,constitutes,dark matter,constitution,"most of it is seen in a form of massive neutrinos, axions, or neutralinos"
1991S&T....82..140S,1991,The Origin of Cosmic Structure,neutralino,constitutes,dark matter,constitution,"most of it is seen in a form of massive neutrinos, axions, or neutralinos"
1991regr.conf..362B,1991,Massive SIMPs as dark matter: cosmological generation and the aftermath.,dark matter,composed_of,strongly interacting massive particles (simps),composition,might be composed of strongly interacting massive particles (SIMPs).
1991regr.conf..362B,1991,Massive SIMPs as dark matter: cosmological generation and the aftermath.,dark matter,is,hadronic,identity,such a hadronic nature of the dark matter
1992AIPC..243.1080G,1992,Detecting dark matter via microlensing,dark matter,composed_of,baryonic objects of mass 10^-6 to 100 m_solar,composition,"baryonic dark matter in the halo of our Galaxy, if it consists of objects in the 10-6 to 100Msolar mass range."
1992ApJ...384..391S,1992,Cosmological Explosions from Cold Dark Matter Perturbations,dark matter,is,cold,identity,a universe dominated by cold dark matter
1992ApJ...396L..13W,1992,Interpretation of the Cosmic Microwave Background Radiation Anisotropy Detected by the COBE Differential Microwave Radiometer,cold dark matter,candidate_for,dark matter,candidate,the data agree with an unbiased cold dark matter (CDM) model with H_0_ = 50 km s^-1^ Mpc^-1^ and {DELTA}M/M = 1 in a 16 Mpc radius sphere.
1992ApJ...396L..13W,1992,Interpretation of the Cosmic Microwave Background Radiation Anisotropy Detected by the COBE Differential Microwave Radiometer,massive neutrinos,candidate_for,dark matter,candidate,"CDM plus massive neutrinos [hot dark matter (HDM)], ... are also consistent with the COBE detection"
1992ApJ...398..407G,1992,"Dark Matter, Long-Range Forces, and Large-Scale Structure",dark matter,is,non-baryonic,identity,"If the dark matter in galaxies and clusters is nonbaryonic, it can interact with additional long-range fields"
1992JaJAP..31.3688D,1992,Design of a Liquid Xenon Calorimeter for the Observation of Cosmic Gamma Ray Lines in the 1∼ 100 GeV Region,susy heavy majorana fermions,candidate_for,dark matter,candidate,hypothetical SUSY heavy Majorana fermions which might exist in the galactic halo as dark matter.
1992MNRAS.256..229S,1992,Spherical harmonic analysis of IRAS galaxies : implications for the GreatAttractor and cold dark matter.,cold dark matter,candidate_for,dark matter,candidate,in agreement with the standard Cold Dark Matter model
1992MNRAS.256..229S,1992,Spherical harmonic analysis of IRAS galaxies : implications for the GreatAttractor and cold dark matter.,cold dark matter,candidate_for,dark matter,candidate,slightly favours a low-density CDM model
1992MNRAS.258..511K,1992,The observational properties of an Omega = 0.2 cold dark matter universe,dark matter,is,cold,identity,cold dark matter universe
1992MNRAS.259..761X,1992,Evolution of density perturbations in a universe dominated by multiple dark matter,dark matter,composed_of,hot dark matter,composition,a mixture of hot and cold dark matter
1992MNRAS.259..761X,1992,Evolution of density perturbations in a universe dominated by multiple dark matter,dark matter,composed_of,cold dark matter,composition,a mixture of hot and cold dark matter
1992MNRAS.259..761X,1992,Evolution of density perturbations in a universe dominated by multiple dark matter,massive neutrinos,candidate_for,dark matter,candidate,hot dark matter (massive neutrinos)
1992MPLA....7..733B,1992,Direct Versus Indirect Searches for Neutralino Dark Matter,neutralino,candidate_for,dark matter,candidate,neutralino dark matter
1992NuPhB.373..399E,1992,Astrophysical constraints on massive unstable neutral relic particles,massive neutral particles,candidate_for,dark matter,candidate,massive neutral dark-matter particle candidates with masses greater than ~ 1 TeV
1992NuPhB.373..399E,1992,Astrophysical constraints on massive unstable neutral relic particles,technicolour baryons,candidate_for,dark matter,candidate,applying them to technicolour baryons
1992NuPhB.373..399E,1992,Astrophysical constraints on massive unstable neutral relic particles,cryptons,candidate_for,dark matter,candidate,``cryptons'' in superstring-inspired models.
1992NuPhS..28..148C,1992,Constraints on and consequences of a 17-keV neutrino,17-kev neutrino,is,hot dark matter,identity,it not be the dark matter of the universe
1992NuPhS..28..297C,1992,Bounds on diurnal modulations from the COSME-II dark matter experiment,cold dark matter,candidate_for,dark matter,candidate,the hypothetized scattering of cold dark matter (CDM) particles in the Earth.
1992PhLB..294..221B,1992,Distribution of dark matter in the galaxy and the lower limits for the masses of supersymmetric particles,dark matter,composed_of,neutralino,composition,Assuming that dark matter in our Galaxy is composed mostly of neutralinos (~70%)
1992PhRvD..46.1634K,1992,Relic abundance of the neutralino in the grand unified theories coupled to N=1 supergravity,lightest neutralino,candidate_for,dark matter,candidate,the lightest neutralino with a mass below about 500 GeV can be the dark matter of the Universe.
1992nrdm.book.....D,1992,The neutralino relic density in minimal N = 1 supergravity.,lightest supersymmetric particle (lsp),candidate_for,dark matter,candidate,requiring the LSP to provide all dark matter predicted by inflationary models
1992nrdm.book.....D,1992,The neutralino relic density in minimal N = 1 supergravity.,neutralino,candidate_for,dark matter,candidate,relic neutralinos do not overclose the universe
1993ApJ...410L..61M,1993,Tilted Cold Dark Matter Models Confront the Cosmic Microwave Background and the Galaxy Peculiar Velocity Field,dark matter,is,cold,identity,tilted cold dark matter (CDM) models
1993ApJ...413...59S,1993,Velocity Functions of Galaxies and Clusters of Galaxies,cold dark matter,candidate_for,dark matter,candidate,A cold dark matter model with {OMEGA}_0_ = 1 and a high bias agrees well with the observed velocity functions while {OMEGA}_0_ < 1 models are inconsistent.
1993ApJ...413L..59T,1993,The Dark Matter Distribution of M87 and NGC 1399,dark matter,is,dissipationless,identity,suggesting the presence of dissipationless dark matter in the observed clusters.
1993ApJ...413L..59T,1993,The Dark Matter Distribution of M87 and NGC 1399,dissipational baryonic dark matter,candidate_for,dark matter,candidate,previous suggestions that dissipational baryonic dark matter is required to explain the decline in the density ratio.
1993ApJ...414..449O,1993,Constraints on Axions from the Extragalactic Background Light,multi-ev axions,candidate_for,dark matter,candidate,dark matter in the form of multi-eV axions
1993MNRAS.262L..43S,1993,On the agreement between COBE anisotropy results and specific predictions from clusters of galaxies,cold dark matter,candidate_for,dark matter,candidate,We also consider a `tilted' (n<1) cold dark matter model
1993MNRAS.263.1049C,1993,High-resolution kinematic observations of rapidly rotating spheroidal components of galaxies.,dark matter,candidate_for,central mass enhancements,candidate,"central mass enhancements, which could be either central black holes or distributed dark matter."
1993MNRAS.265..145B,1993,The three-dimensional power spectrum measured from the APM galaxy survey - I. Use of the angular correlation function.,modified cdm models,candidate_for,dark matter,candidate,"can fit modified CDM models in the region k~0.1 h Mpc^-1 (e.g. low- density CDM models, or mixed dark matter models)."
1993MNRAS.265..145B,1993,The three-dimensional power spectrum measured from the APM galaxy survey - I. Use of the angular correlation function.,low- density cdm models,candidate_for,dark matter,candidate,low- density CDM models
1993MNRAS.265..145B,1993,The three-dimensional power spectrum measured from the APM galaxy survey - I. Use of the angular correlation function.,mixed dark matter,candidate_for,dark matter,candidate,mixed dark matter models
1993NIMPA.327..612M,1993,Cryogenic thermal detector with LiF absorber for direct dark matter search experiment,neutralino,candidate_for,dark matter,candidate,possible particle dark matter with a spin-dependent interaction like neutralinos
1993NuPhS..31...32W,1993,Direct searches for neutrino mass,neutrinos,candidate_for,dark matter,candidate,"In addition, neutrinos, if they have mass, remain viable candidates for the non-baryonic dark matter known to permeate galaxies."
1993NuPhS..33....3E,1993,Cosmological and astrophysical aspects of the early universe,neutrinos,candidate_for,dark matter,candidate,including neutrinos as hot dark matter
1993NuPhS..33....3E,1993,Cosmological and astrophysical aspects of the early universe,lightest supersymmetric particle (lsp),candidate_for,dark matter,candidate,including the lightest supersymmetric particle as cold dark matter
1993PASJ...45....1T,1993,On Estimating the Neutrino Mass Bound as a Dark-Matter Candidate in Galactic Halos,neutrinos,candidate_for,dark matter,candidate,the neutrino mass bound for dark matter in galactic halos
1993PhDT........21J,1993,Decaying Dark Matter and Reionization,radiatively decaying neutrinos,constitutes,dark matter,constitution,"radiatively decaying neutrinos with mass, m_nu ~ 30-60 eV, and lifetime, tau_nu ~ 10^{22}-10^{24} sec, constitute the dark matter"
1993PhLB..298..380C,1993,A comment on the strong interactions of color-neutral technibaryons,technobaryons,constitutes,dark matter,constitution,Even if technobaryons constitute the dark matter in the galactic halo
1993PhLB..298..383P,1993,Reconciling dark matter and solar neutrinos,dark matter,is,neutrinos,identity,model for neutrino dark matter
1993PhLB..300...96M,1993,Phenomenological aspects of supersymmetric standard models without grand unification,wino-lsp,candidate_for,dark matter,candidate,It turns out that the wino-LSP is not a candidate for the dark matter.
1993PhLB..306...79V,1993,Supermassive neutrino stars and galactic nuclei,neutrinos,candidate_for,dark matter,candidate,supermassive `stars' consisting of self-gravitating degenerate neutrino (or neutralino) matter
1993PhLB..306...79V,1993,Supermassive neutrino stars and galactic nuclei,neutralino,candidate_for,dark matter,candidate,supermassive `stars' consisting of self-gravitating degenerate neutrino (or neutralino) matter
1993PhLB..309..329R,1993,Implications for minimal supersymmetry from grand unification and the neutralino relic abundance,neutralino,constitutes,dark matter,constitution,the requirement that the neutralino be the dominant component of (dark) matter in the flat Universe
1993PhRvD..47.2461K,1993,New constraints on neutralino dark matter in the supersymmetric standard model,neutralino,candidate_for,dark matter,candidate,We investigate the prospects for neutralino dark matter within the supersymmetric standard model (SSM)
1993PhRvD..47.4226D,1993,New contributions to coherent neutralino-nucleus scattering,cosmic relic neutralinos,candidate_for,dark matter,candidate,experiments searching for direct or indirect evidence of cosmic relic neutralinos.
1993PhRvD..47.5247R,1993,Ultrahigh energy neutrino absorption by neutrino dark matter,dark matter,composed_of,massive neutrinos,composition,"If the dark matter in the Universe consists of massive neutrinos (mνi~=30-100 eV, i=μ,τ)"
1993RuPhJ..36...10F,1993,The hidden mass of the universe,dark matter,composed_of,massive neutrinos,composition,"consists of massive neutrinos or other hypothetical particles (axions, photinos, etc."
1993RuPhJ..36...10F,1993,The hidden mass of the universe,dark matter,composed_of,axions,composition,"consists of massive neutrinos or other hypothetical particles (axions, photinos, etc."
1993RuPhJ..36...10F,1993,The hidden mass of the universe,dark matter,composed_of,photinos,composition,"consists of massive neutrinos or other hypothetical particles (axions, photinos, etc."
1993RuPhJ..36...10F,1993,The hidden mass of the universe,dark matter,composed_of,hypothetical noninteracting particles,composition,the dark matter consists of hypothetical noninteracting particles
1993egte.conf...66T,1993,The galaxy velocity field and CDM models,dark matter,is,non-baryonic,identity,some kind of non-baryonic dark matter accounts for most of the mass density of the universe.
1993hep.ph....2259R,1993,Supersymmetric Dark Matter - a Review,lightest neutralino,candidate_for,dark matter,candidate,I review the properties of the lightest neutralino as a candidate for solving the dark matter problem.
1993hep.ph....2259R,1993,Supersymmetric Dark Matter - a Review,gaugino-like neutralino,candidate_for,dark matter,candidate,I identify a gaugino-like neutralino as the most natural dark matter candidate for a plausible range of parameters.
1993nuas.symp...36S,1993,Thge formation of disk and elliptical galaxies.,dark matter,is,cold dark matter,identity,in a cold dark matter cosmogony
1994AIPC..307..591H,1994,Halo Population of Quark Nuggets as Gamma-Bursters: The Glow of Dark Matter?,quark matter nugget,candidate_for,dark matter,candidate,"Although not strictly required, it is possible that ``exotic'' objects like quark matter nugget provide a substantial fraction of the observed events. The model attempts to relate the gamma-ray burst sources to a specific cold dark matter candidate."
1994APh.....2...77B,1994,On the neutralino as dark matter candidate. II. Direct detection,neutralino,candidate_for,dark matter,candidate,direct search for dark matter neutralino
1994ApJ...424L..13E,1994,Optical Signatures of High-Redshift Galaxy Clusters,dark matter,is,cold,identity,cold dark matter cosmology
1994ApJ...427L...1F,1994,Observational and Theoretical Constraints on Singular Dark Matter Halos,wimp,candidate_for,dark matter,candidate,"gamma rays from weakly interacting, massive particle (WIMP) dark matter annihilation."
1994ApJ...427L...5M,1994,Contribution of Peculiar Shear Motions to Large-Scale Structure,dark matter,is,cold dark matter,identity,cold dark matter-dominated expanding Einstein-de Sitter universe
1994ApJ...431...41M,1994,Growth of Adiabatic Perturbations in Self-interacting Dark Matter,dark matter,is,self-interacting,identity,"a two-component, flat universe filled with radiation and self-interacting dark matter."
1994ApJ...431..451C,1994,A Hydrodynamic Approach to Cosmology: The Mixed Dark Matter Cosmological Scenario,cold dark matter,constitutes,dark matter,constitution,mixed cold and hot dark matter models containing both baryonic matter and two kinds of dark matter.
1994ApJ...431..451C,1994,A Hydrodynamic Approach to Cosmology: The Mixed Dark Matter Cosmological Scenario,hot dark matter,constitutes,dark matter,constitution,mixed cold and hot dark matter models containing both baryonic matter and two kinds of dark matter.
1994ApJ...431..559Z,1994,Large-Scale Structure after COBE: Peculiar Velocities and Correlations of Cold Dark Matter Halos,dark matter,is,cold dark matter,identity,a cold dark matter (CDM) universe
1994ApJ...432...31H,1994,Clusters of Galaxies in the Long Cosmic String Model,dark matter,is,cold dark matter,identity,flat universe dominated by cold dark matter
1994ApJ...433..528M,1994,Infrared Observations of the Dark Matter Lens Candidate Q2345+007,dark matter,is,a gravitational lens,identity,"requiring the presence of massive, concentrated dark matter acting as a gravitational lens."
1994ApJ...437..184X,1994,Dynamics of Massive Black Holes as a Possible Candidate of Galactic Dark Matter,massive black holes,candidate_for,dark matter,candidate,the idea of MBHs as a dark matter candidate
1994ApJ...437L..13G,1994,Bias and High-Order Galaxy Correlation Functions in the APM Galaxy Survey,dark matter,composed_of,cold dark matter and hot dark matter,composition,The cold plus hot dark matter model normalized to COBE can reproduce the APM higher order correlations
1994ApJS...92..539G,1994,"INTEGRAL, SNOBs, and Baryonic Dark Matter",baryonic matter which is not in compact objects,constitutes,dark matter,constitution,Current data allow an upper limit of only 15% of the total mass of the Galactic dark halo to be baryonic matter which is not in compact objects.
1994IJMPD...3S..53W,1994,Dark Matter in the Galaxy,brown dwarfs,candidate_for,dark matter,candidate,"Brown dwarfs, or sub-stellar objects, are often discussed as possible dark-matter candidates"
1994InPhT..35...83D,1994,Early reionization in cosmology.,dark matter,is,cold dark matter,identity,scenario with cold dark matter (CDM) and texture seeds.
1994MNRAS.266..524B,1994,The angular distribution of clusters in skewed CDM models.,dark matter,is,cold dark matter,identity,cold dark matter (CDM) models
1994Natur.370..629M,1994,Evidence against dissipation-less dark matter from observations of galaxy haloes,cold dark matter,candidate_for,dark matter,candidate,cold dark matter (CDM) has proved the most successful at reproducing the observed large-scale structure of the Universe
1994Natur.371..493H,1994,An upper limit on the density of low-mass stars in the Galactic halo,low-mass stars,candidate_for,dark matter,candidate,"If these objects are baryonic, low-mass stars seem the most probable candidates."
1994Natur.371..493H,1994,An upper limit on the density of low-mass stars in the Galactic halo,dark matter,composed_of,low-mass hydrogen-burning stars,composition,very little of the dark matter in the halo of the Milky Way can be made of low-mass hydrogen-burning stars.
1994NuPhS..35..117S,1994,Searches for dark matter,massive compact halo objects (machos),candidate_for,dark matter,candidate,These events may be the first evidence for Massive Compact Halo Objects and the baryonic dark matter that we know should exist.
